hotel_id,destination,budget_per_day,duration_days,travelers_count,price_per_night,rating,distance_from_center_km,destination_encoded,preference_encoded,category_encoded,popularity_score,price_fit_score,rating_score,distance_score,category_match_score,amenities_match_score,price_fit_ratio,relevance_label
1,Goa,7500.0,2,1,18000,4.8,2.1,0,0,2,9.5,0.1458,0.96,0.79,0.0,1.0,2.4,0.6029
1,Goa,7500.0,2,1,18000,4.8,2.1,0,1,2,9.5,0.1458,0.96,0.79,0.5,1.0,2.4,0.6588
1,Goa,7500.0,2,1,18000,4.8,2.1,0,2,2,9.5,0.1458,0.96,0.79,1.0,1.0,2.4,0.7574
1,Goa,7500.0,2,2,18000,4.8,2.1,0,0,2,9.5,0.1458,0.96,0.79,0.0,1.0,2.4,0.6336
1,Goa,7500.0,2,2,18000,4.8,2.1,0,1,2,9.5,0.1458,0.96,0.79,0.5,1.0,2.4,0.6559
1,Goa,7500.0,2,2,18000,4.8,2.1,0,2,2,9.5,0.1458,0.96,0.79,1.0,1.0,2.4,0.7309
1,Goa,7500.0,2,3,18000,4.8,2.1,0,0,2,9.5,0.1458,0.96,0.79,0.0,1.0,2.4,0.6353
1,Goa,7500.0,2,3,18000,4.8,2.1,0,1,2,9.5,0.1458,0.96,0.79,0.5,1.0,2.4,0.686
1,Goa,7500.0,2,3,18000,4.8,2.1,0,2,2,9.5,0.1458,0.96,0.79,1.0,1.0,2.4,0.7239
1,Goa,7500.0,2,4,18000,4.8,2.1,0,0,2,9.5,0.1458,0.96,0.79,0.0,1.0,2.4,0.6042
1,Goa,7500.0,2,4,18000,4.8,2.1,0,1,2,9.5,0.1458,0.96,0.79,0.5,1.0,2.4,0.6491
1,Goa,7500.0,2,4,18000,4.8,2.1,0,2,2,9.5,0.1458,0.96,0.79,1.0,1.0,2.4,0.724
1,Goa,7500.0,2,6,18000,4.8,2.1,0,0,2,9.5,0.1458,0.96,0.79,0.0,1.0,2.4,0.5952
1,Goa,7500.0,2,6,18000,4.8,2.1,0,1,2,9.5,0.1458,0.96,0.79,0.5,1.0,2.4,0.6056
1,Goa,7500.0,2,6,18000,4.8,2.1,0,2,2,9.5,0.1458,0.96,0.79,1.0,1.0,2.4,0.6862
1,Goa,5000.0,3,1,18000,4.8,2.1,0,0,2,9.5,0.0972,0.96,0.79,0.0,1.0,3.6,0.5589
1,Goa,5000.0,3,1,18000,4.8,2.1,0,1,2,9.5,0.0972,0.96,0.79,0.5,1.0,3.6,0.6204
1,Goa,5000.0,3,1,18000,4.8,2.1,0,2,2,9.5,0.0972,0.96,0.79,1.0,1.0,3.6,0.7352
1,Goa,5000.0,3,2,18000,4.8,2.1,0,0,2,9.5,0.0972,0.96,0.79,0.0,1.0,3.6,0.5486
1,Goa,5000.0,3,2,18000,4.8,2.1,0,1,2,9.5,0.0972,0.96,0.79,0.5,1.0,3.6,0.6084
1,Goa,5000.0,3,2,18000,4.8,2.1,0,2,2,9.5,0.0972,0.96,0.79,1.0,1.0,3.6,0.7698
1,Goa,5000.0,3,3,18000,4.8,2.1,0,0,2,9.5,0.0972,0.96,0.79,0.0,1.0,3.6,0.569
1,Goa,5000.0,3,3,18000,4.8,2.1,0,1,2,9.5,0.0972,0.96,0.79,0.5,1.0,3.6,0.6528
1,Goa,5000.0,3,3,18000,4.8,2.1,0,2,2,9.5,0.0972,0.96,0.79,1.0,1.0,3.6,0.6831
1,Goa,5000.0,3,4,18000,4.8,2.1,0,0,2,9.5,0.0972,0.96,0.79,0.0,1.0,3.6,0.5595
1,Goa,5000.0,3,4,18000,4.8,2.1,0,1,2,9.5,0.0972,0.96,0.79,0.5,1.0,3.6,0.6541
1,Goa,5000.0,3,4,18000,4.8,2.1,0,2,2,9.5,0.0972,0.96,0.79,1.0,1.0,3.6,0.6913
1,Goa,5000.0,3,6,18000,4.8,2.1,0,0,2,9.5,0.0972,0.96,0.79,0.0,1.0,3.6,0.5871
1,Goa,5000.0,3,6,18000,4.8,2.1,0,1,2,9.5,0.0972,0.96,0.79,0.5,1.0,3.6,0.6328
1,Goa,5000.0,3,6,18000,4.8,2.1,0,2,2,9.5,0.0972,0.96,0.79,1.0,1.0,3.6,0.7171
1,Goa,3750.0,4,1,18000,4.8,2.1,0,0,2,9.5,0.0729,0.96,0.79,0.0,1.0,4.8,0.5517
